"CRUISE","HAULJOIN","STRATUM"
199001,23905,10
199008,26204,151
199008,26205,350
199301,784483,10
199301,784486,10
199301,784487,11
199309,26613,350
199601,881081,50
199601,881575,10
199601,881924,251
199601,881640,50
199601,881675,10
199601,881676,10
199601,881677,10
199901,979080,151
199901,979081,50
199901,991328,50
199901,991329,50
199901,991330,50
199901,991340,50
199901,991341,50
199901,991342,50
199901,979014,10
200101,1077675,11
200101,1077676,10
200301,1167121,350
200301,1167100,50
200301,1167106,50
200301,1167107,50
200301,1180667,10
200301,1166858,10
200301,1173580,350
200301,1173581,50
200501,-13140,50
200501,-13143,151
200501,-13156,350
200501,-13190,350
200501,-13220,11
200501,-12585,10
200701,-2704,10
200701,-3952,50
200701,-3953,50
200701,-3881,50
200901,-5437,11
200901,-5956,350
200901,-5960,50
200901,-5962,251
200901,-5895,50
200901,-4703,11
201101,-8449,50
201101,-8456,50
201101,-8282,50
201101,-7446,10
201101,-7447,10
201301,-9769,11
201501,-14429,10
201501,-15134,50
201501,-15135,50
201501,-14962,50
201701,-17294,50
201901,-19557,50
201901,-18716,10
201901,-18717,10
201901,-18789,10
202101,-20975,50
202101,-20751,50
202101,-20752,50
202301,-22089,10
202301,-22091,10
202301,-22964,50
