"SURVEY_DEFINITION_ID","DESIGN_YEAR","STRATUM","AREA_M2","SF_AREA_M2","AREA_NAME","GP_AREA_TYPE","GP_AREA_KM2","PCT_DIFF_SHP_GP","PCT_DIFF_SHP_SF","PCT_DIFF_GP_SF"
47,1984,10,8192577000,8192354408.74609,"Fox Islands","STRATUM",8332.718,-1.71058508208102,0.0027169870225968,1.68448747760223
47,1984,11,13682700000,13682063914.5332,"Davidson Bank","STRATUM",13681.24,0.0106704086181821,0.00464883003206147,-0.00602222118172859
47,1984,12,6876380000,6875909674.7334,"Lower Alaska Peninsula","STRATUM",6875.823,0.00810019225231881,0.006839721868215,-0.00126057249289921
47,1984,13,12399200000,12398823851.3301,"Shumagin Bank","STRATUM",12398.79,0.00330666494612556,0.00303365273503028,-0.000273021238992878
47,1984,20,7941370000,7940956332.94062,"Upper Alaska Peninsula","STRATUM",7940.852,0.00652280399981363,0.00520901380215922,-0.00131387589920412
47,1984,21,7302440000,7302084927.38428,"Semidi Bank","STRATUM",7302.086,0.00484769474312695,0.00486238319962446,1.46891685835561e-05
47,1984,22,10792600000,10792024247.5014,"Chirikof Bank","STRATUM",10792.01,0.00546670867075589,0.00533469690934671,-0.000132018978502123
47,1984,30,5766490000,5766169814.29398,"Albatross Shallows","STRATUM",5766.075,0.00719675227044528,0.00555252338979787,-0.00164434722024332
47,1984,31,15403970000,15403156699.328,"Albatross Banks","STRATUM",15403.15,0.0053233030186374,0.00527981210044238,-4.34932334716314e-05
47,1984,32,9887420000,9886888826.17577,"Lower Cook Inlet","STRATUM",9886.88,0.00546148540266318,0.00537221868018438,-8.92715980340942e-05
47,1984,33,5260414000,5260111585.85181,"Kenai Peninsula","STRATUM",5260.082,0.00631129032809965,0.00574886592943748,-0.000562459897139258
47,1984,35,2199770000,2199656178.11658,"Northern Kodiak Shallows","STRATUM",2199.622,0.00672797610659296,0.00517426291917471,-0.00155381772790373
47,1984,40,9947791000,9947215980.375,"Yakutat Shallows","STRATUM",9947.134,0.00660448133661031,0.00578037500988913,-0.000824160758264642
