"REGION","area","min_prop","prop","grid","prop_diff"
"AI",0,0,0,"Option 25",0
"AI",0,0,0,"Option 24",0
"AI",0,0,0,"Option 23",0
"AI",0,0,0,"Option 22",0
"AI",0,0,0,"Option 21",0
"AI",0,0,0,"Option 20",0
"AI",0,0,0,"Option 19",0
"AI",0,0,0,"Option 18",0
"AI",0,0,0,"Option 17",0
"AI",0,0,0,"Option 16",0
"AI",0,0,0,"Option 15",0
"AI",0,0,0,"Option 14",0
"AI",0,0,0,"Option 13",0
"AI",0,0,0,"Option 12",0
"AI",0,0,0,"Option 11",0
"AI",0,0,0,"Option 10",0
"AI",0,0,0,"Option 9",0
"AI",0,0,0,"Option 8",0
"AI",0,0,0,"Option 7",0
"AI",0,0,0,"Option 6",0
"AI",0,0,0,"Option 5",0
"AI",0,0,0,"Option 4",0
"AI",0,0,0,"Option 3",0
"AI",0,0,0,"Option 2",0
"AI",0,0,0,"Option 1",0
"AI",1,0.262956770957726,0.263634198618719,"Option 25",0.000677427660992436
"AI",1,0.262956770957726,0.26975249881009,"Option 24",0.00679572785236415
"AI",1,0.262956770957726,0.271992391821208,"Option 23",0.00903562086348153
"AI",1,0.262956770957726,0.274892806098142,"Option 22",0.0119360351404157
"AI",1,0.262956770957726,0.267336202773792,"Option 21",0.00437943181606615
"AI",1,0.262956770957726,0.26564921902945,"Option 20",0.00269244807172403
"AI",1,0.262956770957726,0.275374376039933,"Option 19",0.0124176050822071
"AI",1,0.262956770957726,0.272067570782774,"Option 18",0.00911079982504792
"AI",1,0.262956770957726,0.266674606955693,"Option 17",0.00371783599796688
"AI",1,0.262956770957726,0.265393794749403,"Option 16",0.00243702379167704
"AI",1,0.262956770957726,0.268429200905085,"Option 15",0.00547242994735886
"AI",1,0.262956770957726,0.273667935299715,"Option 14",0.0107111643419883
"AI",1,0.262956770957726,0.2725,"Option 13",0.00954322904227373
"AI",1,0.262956770957726,0.270411806712687,"Option 12",0.00745503575496115
"AI",1,0.262956770957726,0.268574836016696,"Option 11",0.00561806505897017
"AI",1,0.262956770957726,0.26622216930587,"Option 10",0.00326539834814343
"AI",1,0.262956770957726,0.272824536376605,"Option 9",0.00986776541887857
"AI",1,0.262956770957726,0.264306151645207,"Option 8",0.00134938068748114
"AI",1,0.262956770957726,0.264343035094023,"Option 7",0.00138626413629694
"AI",1,0.262956770957726,0.265600763632025,"Option 6",0.00264399267429855
"AI",1,0.262956770957726,0.262956770957726,"Option 5",0
"AI",1,0.262956770957726,0.269212410501193,"Option 4",0.00625563954346703
"AI",1,0.262956770957726,0.267502986857826,"Option 3",0.00454621590009929
"AI",1,0.262956770957726,0.263504611330698,"Option 2",0.000547840372972008
"AI",1,0.262956770957726,0.265430622009569,"Option 1",0.00247385105184306
"AI",2,0.353455503653132,0.361038342462491,"Option 25",0.00758283880935895
"AI",2,0.353455503653132,0.365183246073298,"Option 24",0.0117277424201663
"AI",2,0.353455503653132,0.36376604850214,"Option 23",0.0103105448490077
"AI",2,0.353455503653132,0.359456884230586,"Option 22",0.00600138057745386
"AI",2,0.353455503653132,0.354615016738403,"Option 21",0.00115951308527057
"AI",2,0.353455503653132,0.359007988553714,"Option 20",0.00555248490058197
"AI",2,0.353455503653132,0.365937722842881,"Option 19",0.0124822191897488
"AI",2,0.353455503653132,0.36200333095408,"Option 18",0.00854782730094833
"AI",2,0.353455503653132,0.360290614578371,"Option 17",0.00683511092523853
"AI",2,0.353455503653132,0.35763723150358,"Option 16",0.00418172785044785
"AI",2,0.353455503653132,0.360724068119567,"Option 15",0.00726856446643442
"AI",2,0.353455503653132,0.365128449096099,"Option 14",0.0116729454429668
"AI",2,0.353455503653132,0.363452380952381,"Option 13",0.00999687729924886
"AI",2,0.353455503653132,0.362651749583432,"Option 12",0.00919624593030038
"AI",2,0.353455503653132,0.360644007155635,"Option 11",0.00718850350250294
"AI",2,0.353455503653132,0.362543159899988,"Option 10",0.00908765624685598
"AI",2,0.353455503653132,0.362339514978602,"Option 9",0.0088840113254699
"AI",2,0.353455503653132,0.361230329041488,"Option 8",0.00777482538835572
"AI",2,0.353455503653132,0.35501257635645,"Option 7",0.00155707270331779
"AI",2,0.353455503653132,0.357713876625701,"Option 6",0.00425837297256887
"AI",2,0.353455503653132,0.356818724623836,"Option 5",0.00336322097070357
"AI",2,0.353455503653132,0.359307875894988,"Option 4",0.00585237224185597
"AI",2,0.353455503653132,0.357586618876941,"Option 3",0.00413111522380932
"AI",2,0.353455503653132,0.353455503653132,"Option 2",0
"AI",2,0.353455503653132,0.353708133971292,"Option 1",0.000252630318159752
"AI",3,0.424961073182417,0.434984520123839,"Option 25",0.010023446941422
"AI",3,0.424961073182417,0.436696811042361,"Option 24",0.0117357378599438
"AI",3,0.424961073182417,0.43319067998098,"Option 23",0.00822960679856249
