"REGION","grid","x_off","y_off","n","p<5","p<10"
"AI","Current",NA,NA,4718,NA,NA
"AI","Option 16",-2000,1000,5008,0.539140811455847,0.702744630071599
"AI","Option 21",-2000,2000,5016,0.538378766140603,0.700263032042085
"AI","Option 23",0,2000,5022,0.539586305278174,0.702567760342368
"AI","Option 20",2000,1000,5041,0.5400023846429,0.702992726839156
"AI","Option 25",2000,2000,5043,0.543343653250774,0.701357466063348
"AI","Option 18",0,1000,5044,0.541399000713776,0.70223649773971
"AI","Option 11",-2000,0,5056,0.542277877161598,0.701490757304711
"AI","Option 15",2000,0,5074,0.542812909372395,0.700607359771347
"AI","Option 5",2000,-2000,5080,0.541437783615954,0.70360640076427
"AI","Option 13",0,0,5080,0.544285714285714,0.701190476190476
"AI","Option 1",-2000,-2000,5089,0.538995215311005,0.699641148325359
"AI","Option 19",1000,1000,5091,0.543380080817685,0.701331114808652
"AI","Option 17",-1000,1000,5100,0.541210100047642,0.701881848499285
"AI","Option 24",1000,2000,5108,0.542836744407425,0.701570680628272
"AI","Option 22",-1000,2000,5111,0.536207717960934,0.702834683182468
"AI","Option 10",2000,-1000,5112,0.542683652815811,0.702821764495773
"AI","Option 12",-1000,0,5116,0.549750059509641,0.704118067126875
"AI","Option 8",0,-1000,5119,0.543156890796376,0.702789699570815
"AI","Option 3",0,-2000,5129,0.536320191158901,0.701433691756272
"AI","Option 6",-2000,-1000,5138,0.541224197589786,0.702660780336475
"AI","Option 14",1000,0,5144,0.544957183634634,0.704923882017127
"AI","Option 2",-1000,-2000,5156,0.535752784764642,0.703916636722961
"AI","Option 4",1000,-2000,5165,0.542124105011933,0.704295942720764
"AI","Option 7",-1000,-1000,5188,0.539705353934603,0.702838663312972
"AI","Option 9",1000,-1000,5191,0.546124583927722,0.702805515929624
