"REGION","grid","x_off","y_off","n","p<5","p<10"
"GOA","Current",NA,NA,8756,NA,NA
"GOA","Option 7",-1000,-1000,10118,0.355691295665453,0.489760758056306
"GOA","Option 23",0,2000,10119,0.361295357003512,0.492157627779945
"GOA","Option 22",-1000,2000,10128,0.35485640402774,0.489088273322102
"GOA","Option 8",0,-1000,10144,0.356147765516162,0.489160209751898
"GOA","Option 2",-1000,-2000,10167,0.356955380577428,0.489638422062914
"GOA","Option 3",0,-2000,10197,0.359102634253107,0.48878292816384
"GOA","Option 24",1000,2000,10208,0.357668231611894,0.488654147104851
"GOA","Option 13",0,0,10212,0.35998909360028,0.4923849959101
"GOA","Option 18",0,1000,10214,0.360841234538999,0.492020757735378
"GOA","Option 12",-1000,0,10227,0.357131704270435,0.490787727379187
"GOA","Option 17",-1000,1000,10230,0.358109164842039,0.490733500156397
"GOA","Option 9",1000,-1000,10248,0.353842536348317,0.488105968569973
"GOA","Option 21",-2000,2000,10258,0.35476683735293,0.490442872219833
"GOA","Option 6",-2000,-1000,10265,0.354842491987806,0.490189947627609
"GOA","Option 1",-2000,-2000,10290,0.353433442828093,0.48729078679806
"GOA","Option 4",1000,-2000,10296,0.35324787329962,0.48771021992238
"GOA","Option 19",1000,1000,10329,0.358196112175852,0.491023585090155
"GOA","Option 14",1000,0,10335,0.356751896160763,0.488153882242552
"GOA","Option 11",-2000,0,10344,0.357424698206821,0.489666757823182
"GOA","Option 16",-2000,1000,10349,0.355824863174355,0.488584831899922
"GOA","Option 10",2000,-1000,10361,0.352275397509203,0.488525103783191
"GOA","Option 25",2000,2000,10367,0.356484014695537,0.489212850777769
"GOA","Option 5",2000,-2000,10409,0.352049806178785,0.486824072986413
"GOA","Option 20",2000,1000,10449,0.356829917070881,0.488734157408856
"GOA","Option 15",2000,0,10469,0.357039414458492,0.488238287212807
