vessel,id,stratum,latitude,longitude,area,cost
AKP,55-47,10,54.2444,-165.4627,25.08512,0.5242894
AKP,47-36,10,53.76834,-166.124,13.37241,0.5242894
AKP,13-10,10,52.7243,-168.9338,17.039,0.5242894
AKP,33-23,10,53.2506,-167.281,25.21606,0.5242894
AKP,56-49,10,54.32524,-165.3802,19.74737,0.5242894
AKP,25-18,10,53.04962,-167.942,15.45216,0.5242894
OEX,50-33,10,53.6618,-165.876,25.21745,0.5242894
OEX,52-40,10,53.9521,-165.7107,25.07908,0.5242894
OEX,58-42,10,54.0354,-165.215,25.21527,0.5242894
AKP,94-46,11,54.2025,-162.2398,25.11028,0.4591904
AKP,74-47,11,54.2444,-163.8928,25.08523,0.4591904
AKP,81-41,11,53.99578,-163.314,22.02339,0.4591904
AKP,73-50,11,54.3703,-163.9753,25.06392,0.4591904
AKP,84-44,11,54.11883,-163.066,25.21964,0.4591904
AKP,65-39,11,53.9105,-164.6363,25.10404,0.4591904
AKP,96-49,11,54.3283,-162.0742,25.08929,0.4591904
AKP,77-54,11,54.53875,-163.6448,25.08442,0.4591904
AKP,76-51,11,54.41232,-163.7272,25.06785,0.4591904
AKP,71-41,11,53.99372,-164.1408,25.08439,0.4591904
AKP,76-52,11,54.45442,-163.7272,25.10142,0.4591904
AKP,70-43,11,54.0771,-164.2233,25.05974,0.4591904
AKP,80-45,11,54.16063,-163.3968,25.10326,0.4591904
AKP,84-52,11,54.45442,-163.066,25.25472,0.4591904
AKP,62-49,11,54.3283,-164.8843,25.09399,0.4591904
AKP,76-43,11,54.0771,-163.7272,25.05973,0.4591904
OEX,81-53,11,54.49657,-163.314,25.23129,0.4591904
OEX,92-51,11,54.3983,-162.405,17.52187,0.4591904
OEX,63-47,11,54.2444,-164.8018,24.07494,0.4591904
OEX,66-50,11,54.3703,-164.5537,25.06832,0.4591904
OEX,66-44,11,54.11883,-164.5537,25.07143,0.4591904
OEX,82-43,11,54.0771,-163.2313,25.06434,0.4591904
OEX,85-43,11,54.0771,-162.9833,25.06463,0.4591904
OEX,72-39,11,53.9105,-164.058,25.25724,0.4591904
OEX,83-42,11,54.0354,-163.1488,25.0919,0.4591904
OEX,86-53,11,54.49657,-162.9007,25.08282,0.4591904
OEX,77-46,11,54.2025,-163.6448,25.11034,0.4591904
AKP,108-74,12,55.38828,-161.0827,20.37691,0.5072006
AKP,116-76,12,55.4781,-160.4212,25.08465,0.5072006
AKP,124-81,12,55.69473,-159.7542,20.84323,0.5072006
AKP,86-62,12,54.87782,-162.9007,24.67516,0.5072006
AKP,92-65,12,55.0057,-162.405,25.24815,0.5072006
AKP,102-76,12,55.4781,-161.5788,25.08461,0.5072006
AKP,114-78,12,55.56023,-160.6019,10.20484,0.5072006
AKP,107-72,12,55.3057,-161.1652,25.08446,0.5072006
AKP,83-67,12,55.08412,-163.1488,22.94897,0.5072006
OEX,104-79,12,55.60793,-161.4132,24.0804,0.5072006
OEX,82-60,12,54.7928,-163.2313,25.1076,0.5072006
OEX,90-69,12,55.17682,-162.5703,24.3769,0.5072006
OEX,99-70,12,55.21972,-161.8262,25.10245,0.5072006
OEX,86-60,12,54.7928,-162.9007,25.10753,0.5072006
OEX,120-75,12,55.44479,-160.0908,12.79541,0.5072006
AKP,110-64,13,54.96302,-160.9173,25.08537,0.5191433
AKP,107-56,13,54.62325,-161.1652,25.09395,0.5191433
AKP,106-52,13,54.46703,-161.2568,8.044538,0.5191433
